$20,0.0,0.0,0.0,0.0,
1,0.0,0.0,0.0,0.0,
10,0.0,0.0,0.0,0.0,
12,0.0,0.0,0.0,0.0,
17,0.0,0.0,0.0,0.0,
190 feet,0.0,0.0,0.0,0.0,
1st,20.0,62.0,8.0,0.0,
2,0.0,0.0,0.0,0.0,
2008,0.0,0.0,0.0,0.0,
2011,0.0,0.0,0.0,0.0,
2012,0.0,0.0,0.0,0.0,
2014,0.0,0.0,0.0,0.0,
2nd floor,90.0,5.0,1.0,0.0,
2nd,17.0,58.0,6.0,0.0,
3,0.0,0.0,0.0,0.0,
3.5 million,0.0,0.0,0.0,0.0,
3.5,0.0,0.0,0.0,0.0,
3.6,0.0,0.0,0.0,0.0,
30,0.0,0.0,0.0,0.0,
311 feet,0.0,0.0,0.0,0.0,
35,0.0,0.0,0.0,0.0,
365 days,0.0,0.0,0.0,0.0,
365,0.0,0.0,0.0,0.0,
40s,0.0,0.0,0.0,0.0,
43,0.0,0.0,0.0,0.0,
46,0.0,0.0,0.0,0.0,
50,7.0,2.0,6.0,0.0,
500 people,0.0,0.0,0.0,0.0,
500,0.0,0.0,0.0,0.0,
52,2.0,1.0,1.0,0.0,
58,8.0,11.0,4.0,0.0,
6,0.0,0.0,0.0,0.0,
600,0.0,0.0,0.0,0.0,
70,0.0,0.0,0.0,0.0,
74,0.0,0.0,0.0,0.0,
90,4.0,1.0,5.0,0.0,
95,3.0,0.0,3.0,0.0,
a,0.0,0.0,0.0,0.0,
about,0.0,0.0,0.0,0.0,
above,127.0,21.0,5.0,0.0,
actor fitting,0.0,0.0,0.0,0.0,
actor,0.0,0.0,0.0,0.0,
actors,0.0,0.0,0.0,0.0,
adding that it may spell,0.0,0.0,0.0,0.0,
adding,89.0,9.0,0.0,0.0,
admits about her 40s,0.0,0.0,0.0,0.0,
admits,38.0,1.0,0.0,0.0,
admitting,0.0,0.0,0.0,0.0,
affairs committee,3.0,61.0,0.0,0.0,
affairs,21.0,66.0,4.0,0.0,
after,0.0,0.0,0.0,0.0,
age,0.0,0.0,0.0,0.0,
aipac,8.0,31.0,5.0,0.0,
air,13.0,11.0,0.0,0.0,
airship,189.0,26.0,4.0,0.0,
all,0.0,0.0,0.0,0.0,
almost,0.0,0.0,0.0,0.0,
along,39.0,11.0,6.0,0.0,
alphabet,0.0,0.0,0.0,0.0,
already,57.0,10.0,1.0,0.0,
also,0.0,0.0,0.0,0.0,
alums,158.0,26.0,0.0,0.0,
amazing,0.0,0.0,0.0,0.0,
american israel,0.0,11.0,0.0,0.0,
amount,0.0,0.0,0.0,0.0,
an,0.0,0.0,0.0,0.0,
andrew gaze,32.0,0.0,0.0,0.0,
another,0.0,0.0,0.0,0.0,
answered,132.0,22.0,0.0,0.0,
antique,52.0,11.0,21.0,0.0,
any,0.0,0.0,0.0,0.0,
anything but cold,0.0,0.0,0.0,0.0,
anywhere in each,0.0,0.0,0.0,0.0,
apartment,0.0,0.0,0.0,0.0,
aperitivo scene,0.0,0.0,0.0,0.0,
aperitivo,0.0,0.0,0.0,0.0,
appeal,135.0,28.0,5.0,0.0,
appear,138.0,14.0,0.0,0.0,
appeared,82.0,6.0,0.0,0.0,
approach to marriage,0.0,0.0,0.0,0.0,
